Item #,Download date,Download cancelled,Media type,Downloaded by,Subscription,Account overage,Title,Caption,Contributor,Source,File size,Project code,Download notes,Duplicate downloads
1155283197,2020-04-14T03:16:48.5300114,,Photos,Camilla Engevik,KlippekortiStock,,"A haboob (desert dust storm) approaching the outskirts of Khartoum, Sudan","A haboob approaching the outskirts of Khartoum, Sudan. A haboob is a type of intense dust storm carried on wind that occur regularly in Sudan. Khartoum is the capital and largest city of Sudan, located at the confluence of the White Nile, flowing north from Lake Victoria in Uganda, and the Blue Nile, flowing west from Ethiopia. Khartoum is composed of 3 cities: Khartoum proper, Khartoum North and Omdurman.",iStock,iStockphoto,3456 x 2304 px (29.26 x 19.51 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
1049802580,2020-04-14T03:16:48.5276192,,Photos,Camilla Engevik,KlippekortiStock,,Hurricane Florence over the Atlantics close to the US coast . Gaping eye of a category 4 hurricane. Elements of this image furnished by NASA.,Hurricane Florence over the Atlantics close to the US coast . Gaping eye of a category 4 hurricane. Elements of this image furnished by NASA.,iStock,iStockphoto,4830 x 3229 px (40.89 x 27.34 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
172307579,2020-04-14T03:16:48.5249876,,Photos,Camilla Engevik,KlippekortiStock,,Flood,Sheffield floods - 25-06-07,E+,E Plus,1200 x 1800 px (10.16 x 15.24 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
155597266,2020-04-14T03:16:48.522443,,Photos,Camilla Engevik,KlippekortiStock,,emergency backpack,"",E+,E Plus,4256 x 2832 px (36.03 x 23.98 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
821038528,2020-04-14T03:16:48.5198617,,Photos,Camilla Engevik,KlippekortiStock,,Giant stick bug on mans hand for scale,A stick bug attaches itself to a human hand showing off its size.,iStock,iStockphoto,6000 x 4000 px (50.80 x 33.87 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
175114336,2020-04-14T03:16:48.5174582,,Photos,Camilla Engevik,KlippekortiStock,,Run like the wind!,Young woman and her pony have a blast on empty beach racing along the shoreline without a care in the world.,iStock,iStockphoto,3888 x 1969 px (32.92 x 16.67 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
982163288,2020-04-14T03:16:48.5147492,,Photos,Camilla Engevik,KlippekortiStock,,"Sunset view of Big Ben and Houses of Parliament with Westminster bridge , London, UK",Long exposure at dusk,iStock,iStockphoto,5506 x 3671 px (46.62 x 31.08 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
1015237694,2020-04-14T03:16:48.5115852,,Photos,Camilla Engevik,KlippekortiStock,,"London, England","London
England
August 05, 2018
The Band of the Coldstream Guards arrives at Buckingham Palace for the changing the guard ceremony",iStock Editorial,iStock Editorial,6720 x 4480 px (56.90 x 37.93 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
936281036,2020-04-14T03:16:48.5089441,,Photos,Camilla Engevik,KlippekortiStock,,Camden Town London Underground Station,"London, UK - A sign for Camden Town underground station in the foreground, with passengers about to board a train in the background.",iStock Unreleased,iStock Unreleased,6214 x 4066 px (52.61 x 34.43 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
1182399504,2020-04-14T03:16:48.5045995,,Photos,Camilla Engevik,KlippekortiStock,,"Two school children walking on field trip in nature, talking.","Two cheerful school children walking on field trip in nature, talking.",iStock,iStockphoto,5188 x 2939 px (43.93 x 24.88 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
